FeatureID,RP_S37,RP_S38,RP_S39,RP_S40,RP_S41,RP_S42,RP_S43,RP_S44,RP_S45,RP_S46,RP_S47,RP_S48,RP_S49,RP_S50,RP_S51,RP_S52,RP_S53,RP_S54,RP_S55,RP_S56,RP_S57,RP_S58,RP_S59,RP_S60,RP_S61,RP_S62,RP_S63,RP_S64,RP_S65,RP_S66,RP_S67,RP_S68,RP_S69,RP_S70,RP_S71,RP_S72
Feature0272,57135667.38,47317998.12,80334265.36,87431108.58,19585984.32,67595778.14,35842406.45,57769862.41,84811348.53,61104624.79,40729532.33,69010993.88,80233743.25,80519005.9,44633973.93,28952587.53,34866091.55,31070933.59,49923780.77,30536474.7,44619648.8,29082544.12,43617144.12,62642482.69,43537462.23,22720240.47,45193600.19,39894668.98,12122035.65,63874125.95,105343827.1,50997478.67,52158651.29,88168872.34,127381836.6,44690081.11
Feature0271,19292527.12,21233048.58,19646406.85,18571825,22317824.02,25099502.81,26262886.69,21551373.96,29324954.18,37051865.64,43751922.38,42409525.28,30265991.61,38189835.81,29078665.81,38730804.06,43505543.43,34124400.39,35875027.87,23627212.14,8164446.501,6218071.307,5281028.082,7657246.075,6306236.089,6203307.951,4704201.588,8558537.338,7518780.808,11778184.53,6542255.351,7071599.778,6656905.192,10474951.86,7689300.532,8804287.201
Feature0270,49913381.4,55561031.34,47266759.18,48400489.6,63736646.95,48703295.31,58840882.63,56516365.24,60871151.03,61241877.25,71070878.49,67597522,71916653.12,68156135.54,71956191.59,62218578.02,68904057.82,59962354.33,65427127.86,62017940.15,28895220.9,24092838.3,24200158.81,28251874.33,30414987.12,31059309.42,26975329.01,30191490.99,29228509.47,51116155.83,28812493.18,30346737.22,35578293.51,41498870.86,28587244.24,35110643.95
Feature0269,35744174.64,31579291.73,32867239.74,34732671.61,43433025.99,45687009.86,43808553.65,39523461.69,49993363.15,50292689.83,55236810.16,48310988.16,51036016.62,50942147.39,54268236.47,52943930.3,64076032.81,45223504.16,50516395.2,41836205.68,14991521.76,16862584.42,16430131.57,13180795.58,14116881.57,14014822.55,10652792.84,18110300.76,12470889.46,17847917.34,11380748.94,12539425.92,11595149.59,16497306.45,13978747.21,19146440.12
Feature0268,1162365.026,1156436.168,1139621.063,1370793.496,1270169.143,1220711.93,1224270.808,1342051.029,1254216.207,1155310.658,1434085.718,1407677.718,1343072.94,1252449.267,1288017.385,1182252.865,1149054.781,1143732.29,1264843.742,1185769.757,1209667.733,1088989.183,1250178.051,1116862.115,1205666.686,1412615.339,1340581.754,1255529.68,1320422.167,1223825.679,1148586.37,1066651.927,1149077.063,934177.394,1055759.056,985095.696
Feature0267,1274771.747,1268269.537,1249828.324,1503356.329,1393001.08,1338761.098,1342664.138,1471834.317,1375505.412,1267035.184,1572769.237,1543807.447,1472955.052,1373567.6,1412575.34,1296582.842,1260174.331,1254337.128,1387160.685,1300439.836,1326648.87,1194300.079,1371076.745,1224868.468,1322260.901,1549222.561,1462527.601,1376945.905,1448113.831,1342175.963,1259660.622,1169802.694,1260198.769,1024517.188,1157856.426,1080359.554
Feature0266,591962.3554,589176.6563,486934.1813,570883.7855,727140.5959,645987.2916,636811.9184,573207.4228,625183.446,577473.1042,629745.5671,608533.1742,704016.0547,622585.7243,681961.1832,562893.5404,620068.2168,503321.35,575322.0819,640360.1111,495348.7346,557422.5916,562767.0943,578197.7958,579851.4463,671066.8036,570662.4855,693353.0452,670178.8742,550030.3838,701954.4977,626183.1277,555240.8933,585414.8075,522364.0739,612362.579
Feature0265,594524.6898,591726.9326,489041.8967,573354.8803,730288.055,648783.4752,639568.386,575688.5756,627889.5792,579972.7212,632471.4477,611167.236,707063.4183,625280.6132,684913.0813,565330.0491,622752.2086,505499.9979,577812.3881,643131.9371,497492.8728,559835.4191,565203.0556,580700.5497,582361.3581,673971.5449,573132.6224,696354.2535,673079.772,552411.2138,704992.9377,628893.5881,557644.2772,587948.8005,524625.1491,615013.2165
Feature0264,39336954.38,39235437.81,32047786.46,38814131.32,58273958.97,41637796.94,35025642.69,39737927.49,53066110.14,39839997.22,52732956.39,47027857.28,54965584.78,47304283.32,44031704.3,40829838.88,43121424.02,29970898.9,41130152.06,37443597.27,33619215,32942220.36,37190486.53,50621936.83,29411227.9,32717481.41,56594232.37,62929613.39,107171495.5,31166010.69,66366611.09,44728040.7,31791674.21,31992160.83,25682766.28,35170606.33
Feature0263,91300357.42,103931744.2,88917350.71,79298929.33,107165947.1,112307210.6,102826155.7,74038784.8,59156048.99,45598610.49,49437665.06,42024049.01,47108771.94,60183942.31,76650598.17,49239484.62,29558148.01,46599391,63376446.55,59928181.77,46902108.3,40354513.67,56805768.79,43918785.21,39272108.62,32932776.27,33174468.17,46007200.45,3981112.116,8870621.652,25369896.24,33858768.15,60991282.99,63588047.59,51188572.28,47607383.06
Feature0262,127579963.7,126377275.3,118150893,110368794.2,117933988.7,160259685.5,153867909.3,139394517.7,162284949.5,124333936.9,128925483.9,139035121.4,171234069.2,146104695.8,153598308.8,161647318,135761327,138237449.1,135176875.5,121950235,136383258,121405963.1,152386907.1,165488128.4,121296053.1,126375441.2,144808609.5,136458857.9,143559133.5,119987344,150835471.7,171413037.7,153181607.1,145123454.8,132380131.1,137682114.9
Feature0261,290822763.7,247698305.4,254451142.6,237247177.1,345442584.2,310419351.1,308150895.4,249305076.1,360285883.5,182714816.7,227126392.6,289097077.1,328012189.6,239656982.3,364029195.7,249599297.1,198952406.1,211662958.2,178599246.3,200532565.4,177331133.8,173847702.7,292552287,297257449.4,172502785.7,157353156.2,309026979.4,286522410.2,351684871.3,183091464.2,460945358.8,343727122.4,251568335.5,319453466.3,208368320.3,231940032.6
Feature0260,153064219.9,128919461,104401186.1,113203326.1,157724088.3,151065091.8,149774286.9,147601388.4,168233895.3,90460641.9,135813197.5,152406569.7,182055780.9,130390801.8,170086685.5,114354142.4,107811163.4,100926694.4,87353696.3,97373083.35,82367948.24,87921713.44,147745910.2,134548890.5,83748795.08,79579249.33,156926464.2,186783721.2,211200193.6,80593017.09,236518088,162168468.7,97761533.19,151290223.6,98186025.57,98729809.4
Feature0259,169132921.6,122171312,129570563.8,132071391.1,167088238.8,165682642.5,151494335.9,152438602,180487963,70512065.24,139786952.7,200113392.8,154992603.3,148888641.6,187619457.7,82304556.09,79552249.72,92508711.91,79324320.74,97974158.4,72657675.47,69968161.73,165660029.1,162957589.9,79340731.53,72682924.27,169651635.4,155675692.6,137395878.8,60735878.67,215949933.5,186894043.3,78914807.42,151192507.7,55984804.6,87262673.99
Feature0258,64272111.47,71952658.92,52628233.84,65517720.7,79483074.21,77341416.68,76907931.66,73026455.16,90303898.05,50947109.68,56176161.2,66635400.52,103953559.5,54761430.58,110039954.2,67973807.26,46018137.89,52372837.36,37889738.78,51458979.75,39611252.04,42560313.16,74056956.25,112813753,46089852.82,47112362.2,84905325.36,64214336.92,71484230.8,47754552.43,129850578.4,74500859.46,68575790.46,74039316.82,55967866.21,58488467.85
Feature0257,38945258.95,51729393.73,28843368.35,60482989.15,72182614.21,55145375.38,66997666.36,48448517.3,58925994.33,67046796.37,72103661.99,72598033.65,57550358.74,64076835.07,72855074.92,41766424.1,67390980.46,45597953.78,81688681.49,70385332.29,50825828.06,52663463.38,44175755.79,36519738.72,42628361.76,111147751.9,47793324.29,51189012.51,39478636.87,39615440.43,29508308.82,48741290.08,55129987.63,40056312.99,28382417.18,36943034.07
