target_id	length	eff_length	est_counts	tpm
TRINITY_DN2_c0_g1_i1	1343	1173.57	590.695	37.5982
TRINITY_DN2_c0_g1_i2	1887	1717.57	109.653	4.7689
TRINITY_DN2_c0_g1_i3	1776	1606.57	128.653	5.98179
TRINITY_DN8_c0_g1_i4	1866	1696.57	53.0815	2.33714
TRINITY_DN8_c0_g1_i5	1802	1632.57	166.491	7.61786
TRINITY_DN8_c0_g1_i6	805	635.57	3.29174	0.386879
TRINITY_DN8_c0_g1_i7	1823	1653.57	90.8218	4.1028
TRINITY_DN8_c0_g1_i3	1887	1717.57	29.3959	1.27845
TRINITY_DN8_c0_g1_i9	1826	1656.57	0	0
TRINITY_DN8_c0_g1_i13	1930	1760.57	20.9177	0.887509
TRINITY_DN28_c0_g1_i5	3731	3561.57	1025.48	21.508
TRINITY_DN28_c0_g1_i6	2719	2549.57	34.1534	1.00064
TRINITY_DN28_c0_g1_i1	4280	4110.57	0	0
TRINITY_DN28_c0_g1_i8	2638	2468.57	66.8638	2.02329
TRINITY_DN28_c0_g1_i9	2869	2699.57	32.0168	0.885923
TRINITY_DN28_c0_g1_i19	3888	3718.57	901.359	18.1065
TRINITY_DN28_c0_g1_i16	3261	3091.57	69.278	1.6739
TRINITY_DN28_c0_g1_i13	1815	1645.57	1.8461	0.0838015
TRINITY_DN78_c0_g1_i6	2565	2395.57	223.417	6.96659
TRINITY_DN78_c0_g1_i3	1225	1055.57	0	0
TRINITY_DN78_c0_g1_i8	3500	3330.57	79.156	1.77533
TRINITY_DN78_c0_g1_i9	2247	2077.57	22.7963	0.819636
TRINITY_DN78_c0_g1_i10	3330	3160.57	119.631	2.82742
TRINITY_DN1_c0_g1_i3	14017	13847.6	1104.06	5.9557
TRINITY_DN1_c0_g1_i9	9274	9104.57	173.03	1.41963
TRINITY_DN1_c0_g1_i10	9240	9070.57	1929.58	15.8906
TRINITY_DN1_c0_g2_i1	5222	5052.57	201.042	2.97227
TRINITY_DN1_c0_g2_i2	4431	4261.57	570.289	9.99627
TRINITY_DN1_c0_g3_i8	10753	10583.6	1274.14	8.99286
TRINITY_DN1_c0_g3_i6	10868	10698.6	731.622	5.10827
TRINITY_DN1_c0_g3_i12	2775	2605.57	14.7389	0.422548
TRINITY_DN1_c0_g3_i1	2629	2459.57	25.4989	0.774417
TRINITY_DN45_c0_g1_i1	1784	1614.57	11.63	0.538067
TRINITY_DN45_c0_g1_i2	1296	1126.57	70.2185	4.65593
TRINITY_DN45_c0_g2_i1	918	748.57	2.0825	0.20781
TRINITY_DN45_c0_g3_i8	3126	2956.57	425.552	10.7517
TRINITY_DN45_c0_g3_i4	3482	3312.57	127.554	2.87635
TRINITY_DN45_c0_g3_i3	2113	1943.57	22.3454	0.858818
TRINITY_DN45_c0_g3_i1	4242	4072.57	61.6172	1.13018
TRINITY_DN51_c0_g1_i5	4352	4182.57	0	0
TRINITY_DN51_c0_g1_i7	4302	4132.57	322.952	5.83755
TRINITY_DN51_c0_g1_i2	4055	3885.57	0	0
TRINITY_DN51_c0_g1_i9	1983	1813.57	385.191	15.8655
TRINITY_DN51_c0_g1_i14	4005	3835.57	1049.17	20.4329
TRINITY_DN51_c0_g1_i13	2280	2110.57	38.6866	1.36922
TRINITY_DN18_c0_g1_i4	736	566.57	102.069	13.4572
TRINITY_DN18_c0_g1_i7	3934	3764.57	932.702	18.5072
TRINITY_DN18_c0_g1_i8	4234	4064.57	537.229	9.8732
TRINITY_DN53_c0_g1_i4	1565	1395.57	94.9029	5.07973
TRINITY_DN53_c0_g1_i5	1587	1417.57	10.843	0.571372
TRINITY_DN53_c0_g1_i6	2294	2124.57	65.0659	2.28768
TRINITY_DN53_c0_g1_i1	1534	1364.57	9.23675	0.505634
TRINITY_DN53_c0_g1_i2	2347	2177.57	67.9931	2.33241
TRINITY_DN53_c0_g1_i3	1618	1448.57	99.9584	5.15457
TRINITY_DN96_c0_g1_i3	10294	10124.6	338.385	2.49659
TRINITY_DN96_c0_g1_i16	5767	5597.57	74.6352	0.995994
TRINITY_DN96_c0_g1_i17	531	362.076	7.0639	1.45733
TRINITY_DN96_c0_g1_i14	13946	13776.6	1615.35	8.7587
TRINITY_DN96_c0_g1_i10	13711	13541.6	13927.4	76.827
